,topic,title,date,events,id,sentence,clause,dateText,exactDate,paragraphNo,realDate,lengthDate,endDate,url
0,Kelsey,"Search warrants show text conversations between Kelsey Berreth and Patrick Frazee, what evidence was gathered from his home",1/1/2018,see,26,"Berreth was last seen alive in Safeway surveillance video on Nov. 22, 2018. ",Berreth was last seen on 22 2018,2018,FALSE,20,TRUE,365 days,1/1/2019,https://www.khou.com/article/news/crime/search-warrants-show-text-conversations-between-kelsey-berreth-and-patrick-frazee-what-evidence-was-gathered-from-his-home/73-9417aa42-a231-4001-8aaf-5093666dae02
1,Kelsey,Patrick Frazee is on trial for the murder of Kelsey Berreth. Here's what we know about the case so far,1/1/2018,call,78,"Cheryl Berreth first called police on Dec. 2, 2018. ",Cheryl Berreth first called police on 2 2018,2018,FALSE,26,TRUE,365 days,1/1/2019,https://www.khou.com/article/news/investigations/kelsey-berreth-murder-case/patrick-frazee-trial-kelsey-berreth-murder-disappearance/73-423d05c8-6477-4375-ad42-198c6c951160
2,Kelsey,Krystal Lee told coworkers she’d gotten herself into a ‘bad situation’ after Kelsey Berreth’s disappearance,1/1/2018,identify,192,"That friend, Megan Garrison, was also called to the witness stand and identified her Passat in surveillance video taken outside a Florissant gas station on Nov. 24, 2018.",That friend Megan Garrison was also called to the witness stand and identified Passat in surveillance video taken outside a Florissant gas station on 24 2018,2018,FALSE,18,TRUE,365 days,1/1/2019,https://www.khou.com/article/news/investigations/kelsey-berreth-murder-case/patrick-frazee-trial-krystal-lee-idaho-nurse/73-0f1d89d6-0c2d-459d-b4cf-82ab844bba7b
3,Kelsey,Patrick Frazee trial: What Krystal Lee said during cross,1/1/2018,ask,205,"Lee, who 9NEWS has previously referred to as Krystal Lee Kenney, claims that she had dated Frazee on and off since 2006, and that in 2018, he had asked her to kill Berreth on three occasions. ",in 2018 he had asked her,2018,FALSE,6,TRUE,365 days,1/1/2019,https://www.khou.com/article/news/investigations/kelsey-berreth-murder-case/patrick-frazee-trial-krystal-lee-cross-examination/73-6e957eee-fc5a-4614-9ef8-c37550c5155f
4,Kelsey,"‘No body, no crime’: Friend of Kelsey Berreth murder suspect says he made disturbing comments",1/1/2018,arrest,415,"Frazee was arrested for Berreth's murder on Dec. 21, 2018.",Frazee was arrested for Berreth murder on 21 2018,2018,FALSE,14,TRUE,365 days,1/1/2019,https://www.khou.com/article/news/investigations/kelsey-berreth-murder-case/patrick-frazee-disturbing-comments/73-28679694-2233-4475-8398-8c1f999792d7
5,Kelsey,Missing Colorado mom Kelsey Berreth: A timeline of events and what we know so far,3/21/2018,arrive,371,Investigators arrived at a landfill south of Colorado Springs Tuesday morning to start their search for the remains of Berreth.,Investigators arrived at a landfill south of Colorado Springs Tuesday morning,Springs Tuesday morning,FALSE,106,TRUE,120 days,7/19/2018,https://www.khou.com/article/news/local/kelsey-berreth-case-a-timeline-of-events-so-far/73-2834adac-0b6e-4fa7-985b-245777d0cad8
6,Kelsey,"CBI: Idaho nurse claimed Patrick Frazee fatally beat Kelsey Berreth, burned her body",8/1/2018,find,533,"During Slater's testimony, he alleged that investigators found custody documents inside of Frazee's home dated in August 2018, but they had never been filed.",investigators found custody documents inside of Frazee home dated in August 2018,Aug-18,FALSE,85,TRUE,30 days,8/31/2018,https://www.khou.com/article/news/crime/cbi-idaho-nurse-claimed-patrick-frazee-fatally-beat-kelsey-berreth-burned-her-body/73-40163b4f-d7eb-4f71-98ff-744462e6c82e
7,Kelsey,Human tooth found near burned area on Patrick Frazee's ranch,11/22/2018,kill,402,"Lee claims that Frazee killed Berreth on Nov. 22, 2018 — Thanksgiving Day. ",Frazee killed Berreth on 22 2018 Thanksgiving Day,2018 Thanksgiving,FALSE,38,TRUE,7 days,11/29/2018,https://www.khou.com/article/news/investigations/kelsey-berreth-murder-case/patrick-frazee-human-tooth-burn-pit/73-400dd802-4988-4ca3-8fdd-131cafff057d
8,Kelsey,Phone of missing Colorado mother pinged in Idaho,11/22/2018,vanish,450,The phone of a woman who vanished from Colorado on Thanksgiving was pinged in a small southern Idaho community.,vanished from Colorado on Thanksgiving,Thanksgiving,FALSE,2,TRUE,7 days,11/29/2018,https://www.khou.com/article/news/phone-of-missing-colorado-mother-pinged-in-idaho/73-622012728
9,Kelsey,Family: Custody of 1-year-old daughter was Patrick Frazee's motive in Kelsey Berreth murder,12/1/2018,charge,272,"Kelsey Berreth's fiance, Patrick Frazee, in December was charged with first-degree murder and solicitation to commit first-degree murder.",Kelsey Berreth fiance Patrick Frazee in December was charged with first degree murder and solicitation,December,FALSE,0,TRUE,30 days,12/31/2018,https://www.khou.com/article/news/crime/family-custody-of-1-year-old-daughter-was-patrick-frazees-motive-in-kelsey-berreth-murder/73-95ba2412-d077-45e5-8042-18587d46b286
