,topic,title,date,events,id,sentence,clause,dateText,exactDate,paragraphNo,realDate,lengthDate,endDate,url
0,Maleah Davis,Houston Police need your help with tips in Maleah Davis case,2014-01-01 00:00:00+00:00,find,118,"In 2014, his body was found in a shallow grave in southeast Austin. ",In 2014 body was found in a shallow grave in southeast Austin,2014,FALSE,10,TRUE,365 days,2015-01-01 00:00:00+00:00,https://www.khou.com/article/news/local/maleah-davis/houston-police-need-your-help-with-tips-in-maleah-davis-case/285-7a656cf3-b525-4168-a482-cdbde4976550
1,Maleah Davis,Maleah Davis update: Attorney for Deion Vence files motion to withdraw as counsel,2019-04-30 00:00:00+00:00,see,154,Maleah has been missing since April 30 and was last seen with Vence.,Maleah has been missing since April 30 and was last seen with Vence,30-Apr,FALSE,8,TRUE,7 days,2019-05-07 00:00:00+00:00,https://www.khou.com/article/news/local/maleah-davis/derion-vences-attorney-files-motion-to-withdraw-as-counsel/285-7df87cf9-1749-4979-b28a-b4df5c7b6059
2,Maleah Davis,Amber Alert: Houston stepdad says Maleah Davis was abducted by Hispanic men in pickup,2019-05-03 00:00:00+00:00,identify,10,Remains found in Arkansas Friday were positively identified as Maleah's,Remains found in Arkansas Friday were positively identified as Maleah,Friday,FALSE,2,TRUE,7 days,2019-05-10 00:00:00+00:00,https://www.khou.com/article/news/where-is-maleah-davis-timeline-in-the-disappearance-of-4-year-old-houston-girl/285-aa7b3a20-1b4a-4f7b-99a5-a3ff81957f64
3,Maleah Davis,"Maleah Davis – Houston, Texas (5",2019-05-03 00:00:00+00:00,abduct,89,"4 year-old Maleah Davis might have been abducted in the Humble area of Houston, Texas on May 3rd 2019. ",4 year old Maleah Davis might have been abducted in the Humble area of Houston Texas on May 3rd 2019,May 3rd 2019,FALSE,22,TRUE,7 days,2019-05-10 00:00:00+00:00,https://texasequusearch.org/missing-maleah-davis-houston-texas-50319/
4,Maleah Davis,Amber Alert: Houston stepdad says Maleah Davis was abducted by Hispanic men in pickup,2019-05-05 00:00:00+00:00,release,20,"Sunday, May 12: According to court documents released Sunday, a chemical was sprayed in Vence's apartment to detect for blood that isn't visible to the naked eye. ",According to court documents released Sunday a chemical was sprayed in Vence apartment,Sunday,FALSE,79,TRUE,7 days,2019-05-12 00:00:00+00:00,https://www.khou.com/article/news/where-is-maleah-davis-timeline-in-the-disappearance-of-4-year-old-houston-girl/285-aa7b3a20-1b4a-4f7b-99a5-a3ff81957f64
5,Maleah Davis,Amber Alert: Houston stepdad says Maleah Davis was abducted by Hispanic men in pickup,2019-05-06 00:00:00+00:00,confirm,11,"Monday, June 3: Medical Examiner confirms child's remains found in Arkansas are Maleah Davis.",Medical Examiner confirms,0,FALSE,9,FALSE,,,https://www.khou.com/article/news/where-is-maleah-davis-timeline-in-the-disappearance-of-4-year-old-houston-girl/285-aa7b3a20-1b4a-4f7b-99a5-a3ff81957f64
6,Maleah Davis,Amber Alert: Houston stepdad says Maleah Davis was abducted by Hispanic men in pickup,2019-05-06 00:00:00+00:00,claim,17,"Monday, May 20: In a YouTube interview, Derion Vence's father, Joe D. Vence, claimed his son is not only innocent but also the victim of character assault by Maleah's mother Brittany Bowens.",In a YouTube interview Derion Vence father Joe Vence claimed,0,FALSE,55,FALSE,,,https://www.khou.com/article/news/where-is-maleah-davis-timeline-in-the-disappearance-of-4-year-old-houston-girl/285-aa7b3a20-1b4a-4f7b-99a5-a3ff81957f64
7,Maleah Davis,Amber Alert: Houston stepdad says Maleah Davis was abducted by Hispanic men in pickup,2019-05-06 00:00:00+00:00,obtain,18,"Monday, May 13, 10:22 a.m.: KHOU 11 has obtained what is believed to be the last image of Maleah Davis from a law enforcement source. ",KHOU 11 has obtained what,0,FALSE,73,FALSE,,,https://www.khou.com/article/news/where-is-maleah-davis-timeline-in-the-disappearance-of-4-year-old-houston-girl/285-aa7b3a20-1b4a-4f7b-99a5-a3ff81957f64
8,Maleah Davis,Amber Alert: Houston stepdad says Maleah Davis was abducted by Hispanic men in pickup,2019-05-06 00:00:00+00:00,appear,19,It appears to show the missing 4-year-old following Derion Vence. ,It appears,0,FALSE,73,FALSE,,,https://www.khou.com/article/news/where-is-maleah-davis-timeline-in-the-disappearance-of-4-year-old-houston-girl/285-aa7b3a20-1b4a-4f7b-99a5-a3ff81957f64
9,Maleah Davis,Amber Alert: Houston stepdad says Maleah Davis was abducted by Hispanic men in pickup,2019-05-06 00:00:00+00:00,arrest,22,"Saturday, May 11, 4:35 p.m: The Gulf Coast Violent Offenders and Fugitives Task Force arrested Derion Vence at a relative's house in Sugar Land on charges of evidence tampering. ",The Gulf Coast Violent Offenders and Fugitives Task Force arrested Derion Vence at a relative house in Sugar Land on charges of evidence tampering,0,FALSE,85,FALSE,,,https://www.khou.com/article/news/where-is-maleah-davis-timeline-in-the-disappearance-of-4-year-old-houston-girl/285-aa7b3a20-1b4a-4f7b-99a5-a3ff81957f64
