,topic,title,date,events,id,sentence,clause,dateText,exactDate,paragraphNo,realDate,lengthDate,endDate,url
0,JJ Vallow,Mom of missing Rexburg kids found in Hawaii with new husband,2019-07-01 00:00:00+00:00,kill,6,Vallow's former husband Charles Vallow was shot and killed by Lori's brother Alex Cox this past July in Arizona.,Vallow former husband Charles Vallow was shot and killed by Lori brother Alex Cox this past July in Arizona,this past July,FALSE,28,TRUE,30 days,2019-07-31 00:00:00+00:00,https://www.khou.com/article/news/crime/missing-rexburg-kids/mom-of-missing-rexburg-kids-found-in-hawaii-with-new-husband/277-9cdff564-a48f-407f-960f-1bd157f25d5d
1,JJ Vallow,Mom of missing Rexburg kids found in Hawaii with new husband,2019-07-01 00:00:00+00:00,shoot,6,Vallow's former husband Charles Vallow was shot and killed by Lori's brother Alex Cox this past July in Arizona.,Vallow former husband Charles Vallow was shot and killed by Lori brother Alex Cox this past July in Arizona,this past July,FALSE,28,TRUE,30 days,2019-07-31 00:00:00+00:00,https://www.khou.com/article/news/crime/missing-rexburg-kids/mom-of-missing-rexburg-kids-found-in-hawaii-with-new-husband/277-9cdff564-a48f-407f-960f-1bd157f25d5d
2,JJ Vallow,Interactive timeline of events: The disappearance of Idaho children JJ Vallow and Tylee Ryan,2019-09-01 00:00:00+00:00,see,17,"They were both last seen in Rexburg, Idaho, in September 2019.",They were both last seen in Rexburg Idaho in September 2019,Sep-19,FALSE,10,TRUE,30 days,2019-10-01 00:00:00+00:00,https://www.khou.com/article/news/crime/missing-rexburg-kids/missing-rexburg-idaho-kids-timeline/277-e7f59780-ecb3-4445-ad58-135c28f076a7
3,JJ Vallow,Mom of missing Rexburg kids found in Hawaii with new husband,2019-10-01 00:00:00+00:00,die,5,"Daybell's wife Tammy died this past October in Rexburg, which police now consider suspicious.",Daybell wife Tammy died this past October in Rexburg which,this past October,FALSE,24,TRUE,30 days,2019-10-31 00:00:00+00:00,https://www.khou.com/article/news/crime/missing-rexburg-kids/mom-of-missing-rexburg-kids-found-in-hawaii-with-new-husband/277-9cdff564-a48f-407f-960f-1bd157f25d5d
4,JJ Vallow,Where are Joshua 'JJ' Vallow and Tylee Ryan?,2019-10-01 00:00:00+00:00,find,49,"Before the children went missing, Vallow's estranged husband was shot and killed by her brother in self-defense in Chandler last July and Daybell's wife Tammy was found dead in her home in October.",Daybell wife Tammy was found in October,October,FALSE,12,TRUE,30 days,2019-10-31 00:00:00+00:00,https://www.khou.com/article/news/investigations/here-is-what-we-know-about-the-case-of-joshua-jj-vallow-and-tylee-ryan/277-e6846db9-4c77-46e4-844d-571cc0ea4644
5,JJ Vallow,Mom of missing Rexburg kids found in Hawaii with new husband,2020-01-27 00:00:00+00:00,question,2,"The couple left Idaho last year, the day after local police questioned them about the children's whereabouts.",local police questioned them about the children whereabouts,0,FALSE,8,FALSE,,,https://www.khou.com/article/news/crime/missing-rexburg-kids/mom-of-missing-rexburg-kids-found-in-hawaii-with-new-husband/277-9cdff564-a48f-407f-960f-1bd157f25d5d
6,JJ Vallow,Mom of missing Rexburg kids found in Hawaii with new husband,2020-01-27 00:00:00+00:00,ask,3,The couple stays mostly silent as Eaton repeatedly asks where the children are.,Eaton repeatedly asks where,0,FALSE,16,FALSE,,,https://www.khou.com/article/news/crime/missing-rexburg-kids/mom-of-missing-rexburg-kids-found-in-hawaii-with-new-husband/277-9cdff564-a48f-407f-960f-1bd157f25d5d
7,JJ Vallow,Mom of missing Rexburg kids found in Hawaii with new husband,2020-01-27 00:00:00+00:00,search,4,"As authorities continue to search for the missing children, police are also looking into the deaths of the couples former spouses.",to search for the missing children,0,FALSE,22,FALSE,,,https://www.khou.com/article/news/crime/missing-rexburg-kids/mom-of-missing-rexburg-kids-found-in-hawaii-with-new-husband/277-9cdff564-a48f-407f-960f-1bd157f25d5d
8,JJ Vallow,Mother ignores deadline to bring two missing Rexburg kids to Idaho,2020-01-31 00:00:00+00:00,happen,0,"According to Woodcock, a judge must now decide what happens next. ",happens next,0,FALSE,10,FALSE,,,https://www.khou.com/article/news/crime/missing-rexburg-kids/mother-ignores-deadline-to-bring-two-missing-rexburg-kids-to-idaho/277-73791546-3763-41b1-99c8-746155440ba0
9,JJ Vallow,Interactive timeline of events: The disappearance of Idaho children JJ Vallow and Tylee Ryan,2020-02-01 00:00:00+00:00,arrest,19,Lori was arrested in Hawaii in February and extradited to Idaho to face charges.,Lori was arrested in Hawaii in February and extradited to Idaho,February,FALSE,14,TRUE,30 days,2020-03-02 00:00:00+00:00,https://www.khou.com/article/news/crime/missing-rexburg-kids/missing-rexburg-idaho-kids-timeline/277-e7f59780-ecb3-4445-ad58-135c28f076a7
