,topic,title,date,events,id,sentence,clause,dateText,exactDate,paragraphNo,realDate,lengthDate,endDate,url
0,Katherine,Kealoha indictments have roots in family fight over money,2009-01-01 00:00:00+00:00,ask,36,"According to the lawsuit, Kealoha asked her then-90-year-old grandmother for power of attorney in 2009 so she could arrange the reverse mortgage. ",According to the lawsuit Kealoha asked then grandmother for power of attorney in 2009 so,2009,FALSE,4,TRUE,365 days,2010-01-01 00:00:00+00:00,https://www.staradvertiser.com/2017/10/20/breaking-news/kealoha-indictments-have-roots-in-family-fight-over-money/
1,Katherine,Kealoha indictments have roots in family fight over money,2009-10-01 00:00:00+00:00,receive,38,"After closing costs and fees, the grandmother received $513,474 from the reverse mortgage in October 2009. ",After closing costs and fees the grandmother received from the reverse mortgage in October 2009,Oct-09,FALSE,6,TRUE,30 days,2009-10-31 00:00:00+00:00,https://www.staradvertiser.com/2017/10/20/breaking-news/kealoha-indictments-have-roots-in-family-fight-over-money/
2,Katherine,"Kealohas released after pleading not guilty to federal fraud, conspiracy charges",2013-01-01 00:00:00+00:00,arrest,22,"FBI agents arrested retired Honolulu Police Chief Louis Kealoha and his wife, Katherine, a city deputy prosecutor, this morning in connection with a public corruption case tied to an alleged theft of their mailbox in 2013.",FBI agents arrested retired Honolulu Police Chief Louis Kealoha and wife Katherine a city deputy prosecutor this morning in connection with a public corruption case tied to an alleged theft of mailbox in 2013,2013,FALSE,41,TRUE,365 days,2014-01-01 00:00:00+00:00,https://www.staradvertiser.com/2017/10/20/breaking-news/ex-hpd-chief-wife-arrested-in-federal-public-corruption-case/
3,Katherine,Timeline: Case against Kealohas began with alleged mailbox theft,2017-10-20 00:00:00+00:00,appear,0,The U.S. Postal Inspection Service determines the person in the video does appear to be Puana.,the person in the video does appear,0,FALSE,15,FALSE,,,https://www.staradvertiser.com/2017/10/20/breaking-news/timeline-case-against-kealohas-began-with-alleged-mailbox-theft/
4,Katherine,Timeline: Case against Kealohas began with alleged mailbox theft,2017-10-20 00:00:00+00:00,charge,1,"Federal prosecutors charge Puana with destroying a mailbox, a crime punishable by up to three years in prison and a fine.",Federal prosecutors charge Puana with,0,FALSE,19,FALSE,,,https://www.staradvertiser.com/2017/10/20/breaking-news/timeline-case-against-kealohas-began-with-alleged-mailbox-theft/
5,Katherine,Timeline: Case against Kealohas began with alleged mailbox theft,2017-10-20 00:00:00+00:00,release,2,No details are released.,No details are released,0,FALSE,47,FALSE,,,https://www.staradvertiser.com/2017/10/20/breaking-news/timeline-case-against-kealohas-began-with-alleged-mailbox-theft/
6,Katherine,"Kealohas released after pleading not guilty to federal fraud, conspiracy charges",2017-10-20 00:00:00+00:00,happen,19,Oahu residents deserve to know what happened and expect justice to be served. ,happened,0,FALSE,24,FALSE,,,https://www.staradvertiser.com/2017/10/20/breaking-news/ex-hpd-chief-wife-arrested-in-federal-public-corruption-case/
7,Katherine,"Kealohas released after pleading not guilty to federal fraud, conspiracy charges",2017-10-20 00:00:00+00:00,occur,28,"Earlier this week three current and former HPD officers were arrested in connection to the case, and the formal charges detailed what prosecutors alleged to have occurred.",to have occurred,0,FALSE,55,FALSE,,,https://www.staradvertiser.com/2017/10/20/breaking-news/ex-hpd-chief-wife-arrested-in-federal-public-corruption-case/
8,Katherine,"Kealohas released after pleading not guilty to federal fraud, conspiracy charges",2017-10-20 00:00:00+00:00,involve,29,"When the incident occurred, Puana and the Kealohas were involved in a civil lawsuit over family money. ",When Puana and the Kealohas were involved in a civil lawsuit over family money,0,FALSE,59,FALSE,,,https://www.staradvertiser.com/2017/10/20/breaking-news/ex-hpd-chief-wife-arrested-in-federal-public-corruption-case/
9,Katherine,"Kealohas released after pleading not guilty to federal fraud, conspiracy charges",2017-10-20 00:00:00+00:00,call,34,"The Federal Rules of Criminal Procedure do not, however, prohibit disclosure by witnesses called to testify.",The Federal Rules of Criminal Procedure however prohibit disclosure by witnesses called,0,FALSE,77,FALSE,,,https://www.staradvertiser.com/2017/10/20/breaking-news/ex-hpd-chief-wife-arrested-in-federal-public-corruption-case/
10,Katherine,Kealoha indictments have roots in family fight over money,2017-10-20 00:00:00+00:00,claim,35,"The Puanas filed a state civil lawsuit against Kealoha in March 2013 over the proceeds of a reverse mortgage Kealoha had arranged on her grandmother's Maunalani Heights home and $70,000 in cash her uncle claimed he gave his niece to invest and for safekeeping.",uncle claimed,0,FALSE,2,FALSE,,,https://www.staradvertiser.com/2017/10/20/breaking-news/kealoha-indictments-have-roots-in-family-fight-over-money/
11,Katherine,Kealoha indictments have roots in family fight over money,2017-10-20 00:00:00+00:00,help,37,"Florence Puana wanted the money from the reverse mortgage to help her son, Gerard Puana, purchase a Salt Lake condominium. ",to help,0,FALSE,4,FALSE,,,https://www.staradvertiser.com/2017/10/20/breaking-news/kealoha-indictments-have-roots-in-family-fight-over-money/
