,topic,title,date,events,id,sentence,clause,dateText,exactDate,paragraphNo,realDate,lengthDate,endDate,url
0,Broussard,"‘Close friend’ of missing Austin mom found dead booked in jail, was plotting to take her baby: Sources",2018-01-01 00:00:00+00:00,obtain,73,"Christopher Green, who owns the property where the baby and Heidi's body were found, bailed Fieramusca out of jail in Aug. 2018, according to documents obtained by KVUE.",Christopher Green who bailed Fieramusca out of jail in 2018 according to documents obtained by KVUE,2018,FALSE,32,TRUE,365 days,2019-01-01 00:00:00+00:00,https://www.khou.com/article/news/local/heidi-broussard-houston-home-missing-austin-woman/269-f2ddad6d-7f7f-4b70-a304-d41f0cfcbdbb
1,Broussard,Heidi Broussard murder: Affidavit reveals new details on suspect,2019-12-01 00:00:00+00:00,confirm,38,Law enforcement sources had confirmed to KVUE in December that Fieramusca was pretending to be pregnant at the same time as Broussard.,Law enforcement sources had confirmed to KVUE in December that,December,FALSE,14,TRUE,30 days,2019-12-31 00:00:00+00:00,https://www.khou.com/article/news/local/austin-heidi-broussard-affidavit-magen-fieramusca/269-d4b31389-6da1-4bac-80e6-f23dd904c683
2,Broussard,"Timeline: Missing Austin mom, baby found in Houston",2019-12-12 00:00:00+00:00,disappear,3,Heidi Broussard and her baby daughter disappeared on December 12 after the mom dropped her son off at his elementary school.,Heidi Broussard and baby daughter disappeared on December 12 after,12-Dec,FALSE,0,TRUE,7 days,2019-12-19 00:00:00+00:00,https://www.khou.com/article/news/local/missing-austin-mom-woman-baby-heidi-broussard-margot-carey-timeline/269-c7122028-a251-4905-8e6c-ac2fb9027e2b
3,Broussard,Austin police searching for missing mom and her baby,2019-12-12 00:00:00+00:00,see,56,"They were last seen Thursday, Dec. 12.",They were last seen Thursday 12,Thursday,FALSE,6,TRUE,7 days,2019-12-19 00:00:00+00:00,https://www.khou.com/article/news/local/austin-police-search-missing-mom-baby/269-e246b008-1502-4912-afe8-19c8285e16ad
4,Broussard,Austin police searching for missing mom and her baby,2019-12-13 00:00:00+00:00,find,54,"Editor's note: On Dec. 20, Heidi Broussard has been found dead at a Harris County home and a baby was found in the home alive, according to ABC News and KTRK. ",On 20 Heidi Broussard has been found at a Harris County home,0,FALSE,2,FALSE,,,https://www.khou.com/article/news/local/austin-police-search-missing-mom-baby/269-e246b008-1502-4912-afe8-19c8285e16ad
5,Broussard,Austin police searching for missing mom and her baby,2019-12-13 00:00:00+00:00,miss,61,She's missed. ,She missed,0,FALSE,40,FALSE,,,https://www.khou.com/article/news/local/austin-police-search-missing-mom-baby/269-e246b008-1502-4912-afe8-19c8285e16ad
6,Broussard,"Missing Austin mother, baby: FBI, Texas Rangers joining search",2019-12-17 00:00:00+00:00,help,52,"Investigators have been divided into teams to help review forensic evidence, including hours of video footage from security cameras throughout the area and to continue interviewing those who know Broussard.",to help and to continue,0,FALSE,12,FALSE,,,https://www.khou.com/article/news/local/austin-missing-mom-baby-fbi-texas-rangers-join/269-b320f417-75ea-42d6-b7a4-69cd2a13a16e
7,Broussard,"Timeline: Missing Austin mom, baby found in Houston",2019-12-20 00:00:00+00:00,search,8,"Tuesday, Dec. 17: Austin police hold their first press conference about the case and reveal that the FBI and Texas Rangers joined the case to search for Broussard and Margo Carey.",to search for Broussard and Margo Carey,0,FALSE,28,FALSE,,,https://www.khou.com/article/news/local/missing-austin-mom-woman-baby-heidi-broussard-margot-carey-timeline/269-c7122028-a251-4905-8e6c-ac2fb9027e2b
8,Broussard,"Timeline: Missing Austin mom, baby found in Houston",2019-12-20 00:00:00+00:00,identify,9,"Officials identified that woman to KVUE as Magen Fieramusca, 33.",Officials identified that,0,FALSE,48,FALSE,,,https://www.khou.com/article/news/local/missing-austin-mom-woman-baby-heidi-broussard-margot-carey-timeline/269-c7122028-a251-4905-8e6c-ac2fb9027e2b
9,Broussard,"Timeline: Missing Austin mom, baby found in Houston",2019-12-20 00:00:00+00:00,charge,10,"She is expected to be charged with murder, according to KVUE's sister station KHOU, and will be arraigned in Harris County.",to be charged with murder,0,FALSE,52,FALSE,,,https://www.khou.com/article/news/local/missing-austin-mom-woman-baby-heidi-broussard-margot-carey-timeline/269-c7122028-a251-4905-8e6c-ac2fb9027e2b
