,topic,title,date,events,id,sentence,clause,dateText,exactDate,paragraphNo,realDate,lengthDate,endDate,url
0,Joseph DeAngelo,Who is Joseph James DeAngelo?,1964-01-01 00:00:00+00:00,receive,28,He received his GED in 1964.,He received GED in 1964,1964,FALSE,4,TRUE,365 days,1964-12-31 00:00:00+00:00,https://www.khou.com/article/news/local/sacramento/who-is-joseph-james-deangelo/103-546199302
1,Joseph DeAngelo,Golden State Killer suspect agrees to guilty plea in a deal that spares him death penalty,1970-01-01 00:00:00+00:00,occur,16,The crimes occurred during the 1970s and '80s.,The crimes occurred during the 1970s and,the 1970s,FALSE,2,TRUE,365 days,1971-01-01 00:00:00+00:00,https://www.latimes.com/california/story/2020-06-15/golden-state-killer-plead-guilty-death-penalty
2,Joseph DeAngelo,Timeline: Golden State Killer,1970-01-01 00:00:00+00:00,charge,48,"Due to California's statute of limitations on rape cases occurring before 2017, DeAngelo cannot be charged with the 1970s crimes that occurred while he was known as the East Area Rapist (among many, many other rape cases). ",Due to California statute of limitations on rape cases occurring before 2017 DeAngelo can not be charged with the 1970s crimes that,the 1970s,FALSE,6,TRUE,365 days,1971-01-01 00:00:00+00:00,https://www.khou.com/article/news/local/sacramento/timeline-of-the-golden-state-killer/103-48941f9d-7627-4ea2-9458-a87c6c9f4bb6
3,Joseph DeAngelo,"Joseph DeAngelo, accused Golden State Killer, ordered to give DNA samples",1970-01-01 00:00:00+00:00,suspect,63,The 74-year-old former police officer is suspected of at least 13 murders and more than 50 rapes in the 1970s and 1980s.,The 74 year old former police officer is suspected of at least 13 murders and more than 50 rapes in the 1970s and 1980s,the 1970s,FALSE,1,TRUE,365 days,1971-01-01 00:00:00+00:00,https://www.khou.com/article/news/golden-state-killer-suspect-ordered-to-give-dna-samples-joseph-deangelo/103-3edea5df-b614-4240-aadf-f9a600bdb410
4,Joseph DeAngelo,Timeline: Golden State Killer,1975-01-01 00:00:00+00:00,shoot,53,"In 1975, Claude Snelling is shot defending his teenage daughter from a would-be kidnapper. ",In 1975 Claude Snelling is shot,1975,FALSE,41,TRUE,365 days,1976-01-01 00:00:00+00:00,https://www.khou.com/article/news/local/sacramento/timeline-of-the-golden-state-killer/103-48941f9d-7627-4ea2-9458-a87c6c9f4bb6
5,Joseph DeAngelo,Accused Golden State Killer undetected working as cop,1976-01-01 00:00:00+00:00,assault,13,"Jane Carson-Sandler was one of the first victims when she was sexually assaulted in 1976 in her home in Citrus Heights, the same community where DeAngelo was arrested at home.",she was sexually assaulted in 1976 in home in Citrus Heights the same community where,1976,FALSE,73,TRUE,365 days,1976-12-31 00:00:00+00:00,https://www.khou.com/article/news/local/sacramento/former-police-officer-named-as-suspected-east-area-rapist/103-545723331
6,Joseph DeAngelo,California's Golden State Killer pleads guilty to crimes,1977-01-01 00:00:00+00:00,identify,46,"Nine counts of kidnapping to commit robbery using a gun and knife between Sept. 4, 1976, and Oct. 21, 1977, with the victims identified as Jane Does numbers 1-9.",using a gun and knife between 4 1976 and 21 1977 with the victims identified as Jane,1977,FALSE,307,TRUE,365 days,1978-01-01 00:00:00+00:00,https://www.khou.com/article/news/local/sacramento/golden-state-killed-to-plead-guilty/103-a941b93c-6115-451b-bbe2-7c397446f14b
7,Joseph DeAngelo,Accused Golden State Killer undetected working as cop,1979-01-01 00:00:00+00:00,fire,7,"DeAngelo was fired from the Auburn department in 1979 after being arrested for stealing a can of dog repellant and a hammer from a drug store, according to Auburn Journal articles from the time. ",DeAngelo was fired from the Auburn department in 1979 after according to Auburn Journal articles from the time,1979,FALSE,47,TRUE,365 days,1980-01-01 00:00:00+00:00,https://www.khou.com/article/news/local/sacramento/former-police-officer-named-as-suspected-east-area-rapist/103-545723331
8,Joseph DeAngelo,Accused Golden State Killer undetected working as cop,2004-01-01 00:00:00+00:00,help,12,"Harrington's brother, Bruce, helped bankroll a successful 2004 ballot initiative campaign to take DNA from all convicted felons and some arrestees.",Harrington brother Bruce helped bankroll a successful 2004 ballot initiative campaign,2004,FALSE,69,TRUE,365 days,2004-12-31 00:00:00+00:00,https://www.khou.com/article/news/local/sacramento/former-police-officer-named-as-suspected-east-area-rapist/103-545723331
9,Joseph DeAngelo,"Accused Golden State Killer could plead guilty under new deal, avoiding death penalty, reports say",2018-01-01 00:00:00+00:00,arrest,68,"DeAngelo was arrested at his home in 2018 after DNA linked him to crimes attributed to the so-called Golden State Killer, East Area Rapist, Visalia Ransacker and more.",DeAngelo was arrested at home in 2018 after,2018,FALSE,14,TRUE,365 days,2019-01-01 00:00:00+00:00,https://www.khou.com/article/news/local/sacramento/golden-state-killer-east-area-rapist-plea-deal/103-f672893a-bc68-4ee6-8b0c-3cb601df24bc
