,topic,title,date,events,id,sentence,clause,dateText,exactDate,paragraphNo,realDate,lengthDate,endDate,url
0,Carlos Guimaraes,Houston dad has hope after charges filed in son's kidnapping,2018-02-08 00:00:00+00:00,kidnap,9,Chris Brann remembers the day his son Nico was kidnapped by his ex-wife Marcelle and taken to Brazil.,son Nico was kidnapped by Marcelle and taken to Brazil,0,FALSE,2,FALSE,,,https://www.khou.com/article/news/crime/houston-dad-has-hope-after-charges-filed-in-sons-kidnapping/285-515908601
1,Carlos Guimaraes,Houston dad has hope after charges filed in son's kidnapping,2018-02-08 00:00:00+00:00,arrest,10,Wednesday morning the FBI arrested his ex-wife's parents Carlos and Jemima Guimaraes as soon as their flight from Brazil landed in Miami.,Wednesday morning the FBI arrested parents,0,FALSE,6,FALSE,,,https://www.khou.com/article/news/crime/houston-dad-has-hope-after-charges-filed-in-sons-kidnapping/285-515908601
2,Carlos Guimaraes,Houston dad has hope after charges filed in son's kidnapping,2018-02-08 00:00:00+00:00,charge,11,His former in-laws are charged with International Parental Kidnapping and Conspiracy.,former in laws are charged with International Parental Kidnapping and Conspiracy,0,FALSE,10,FALSE,,,https://www.khou.com/article/news/crime/houston-dad-has-hope-after-charges-filed-in-sons-kidnapping/285-515908601
3,Carlos Guimaraes,Houston dad has hope after charges filed in son's kidnapping,2018-02-08 00:00:00+00:00,release,12,Brann is hoping the judge does not allow them to be released on bond. ,them to be released on bond,0,FALSE,30,FALSE,,,https://www.khou.com/article/news/crime/houston-dad-has-hope-after-charges-filed-in-sons-kidnapping/285-515908601
4,Carlos Guimaraes,Lawyer files motion asking judge to throw out international kidnapping case,2018-03-22 00:00:00+00:00,see,14,For now Carlos and Jemima Guimaraes remain out on bond as both parties wait to see what a judge will decide on this latest motion.,to see what,0,FALSE,26,FALSE,,,https://www.khou.com/article/news/crime/lawyer-files-motion-asking-judge-to-throw-out-international-kidnapping-case/285-530830437
5,Carlos Guimaraes,Defense spends hours grilling father of boy in international kidnapping case,2018-05-09 00:00:00+00:00,appear,3,The defense's strategy appears to be attempting to discredit the boy's father.,The defense strategy appears,0,FALSE,6,FALSE,,,https://www.khou.com/article/news/local/defense-spends-hours-grilling-father-of-boy-in-international-kidnapping-case/285-550533633
6,Carlos Guimaraes,Defense spends hours grilling father of boy in international kidnapping case,2018-05-09 00:00:00+00:00,ask,4,"Hardin asked him if he considered this domestic violence, and Brann responded that it was self-defense. ",Hardin asked him if,0,FALSE,8,FALSE,,,https://www.khou.com/article/news/local/defense-spends-hours-grilling-father-of-boy-in-international-kidnapping-case/285-550533633
7,Carlos Guimaraes,Defense spends hours grilling father of boy in international kidnapping case,2018-05-09 00:00:00+00:00,claim,6,Hardin claimed to jurors that it was Brann's pornography addiction that led to fights and the marriage crumbling. ,Hardin claimed to jurors that,0,FALSE,14,FALSE,,,https://www.khou.com/article/news/local/defense-spends-hours-grilling-father-of-boy-in-international-kidnapping-case/285-550533633
8,Carlos Guimaraes,Trial begins for grandparents in high-profile international kidnapping case,2018-05-09 00:00:00+00:00,arrive,7,Early Tuesday morning Carlos and Jemima Guimaraes arrived in court alongside their high profile legal team led by Rusty Hardin. ,Early Tuesday morning Carlos and Jemima Guimaraes arrived in court alongside high profile legal team led by Rusty Hardin,0,FALSE,6,FALSE,,,https://www.khou.com/article/news/crime/trial-begins-for-grandparents-in-high-profile-international-kidnapping-case/285-550126804
9,Carlos Guimaraes,Trial begins for grandparents in high-profile international kidnapping case,2018-05-09 00:00:00+00:00,help,8,Prosecutors painted a sinister picture of the grandparents and their plan to help take Nico and keep him in Brazil.,to help,0,FALSE,6,FALSE,,,https://www.khou.com/article/news/crime/trial-begins-for-grandparents-in-high-profile-international-kidnapping-case/285-550126804
10,Carlos Guimaraes,Timeline: A mother’s decision to kidnap her son,2018-12-11 00:00:00+00:00,abuse,18,She claims Chris abused her and has a sex addiction. ,Chris abused her and has a sex addiction,0,FALSE,16,FALSE,,,https://www.khou.com/article/news/timeline-a-mothers-decision-to-kidnap-her-son/285-622883911
11,Carlos Guimaraes,Timeline: A mother’s decision to kidnap her son,2018-12-11 00:00:00+00:00,abduct,20,"July 2015 — A Brazilian federal court rules Nico was illegally abducted, but refuses to return him to the U.S., citing Nico is acclimated to the environment in Brazil.",Nico was illegally abducted but refuses,0,FALSE,42,FALSE,,,https://www.khou.com/article/news/timeline-a-mothers-decision-to-kidnap-her-son/285-622883911
12,Carlos Guimaraes,Timeline: A mother’s decision to kidnap her son,2018-12-11 00:00:00+00:00,find,23,A jury finds Carlos and Jemima Guimaraes guilty of kidnapping. ,A jury finds,0,FALSE,48,FALSE,,,https://www.khou.com/article/news/timeline-a-mothers-decision-to-kidnap-her-son/285-622883911
13,Carlos Guimaraes,Timeline: A mother’s decision to kidnap her son,2018-12-11 00:00:00+00:00,sentence,26,A federal judge sentenced Carlos Guimaraes to three months in prison and Jemima Guimaraes to one month in prison. ,A federal judge sentenced Carlos Guimaraes to three months in prison and Jemima Guimaraes to one month in prison,0,FALSE,50,FALSE,,,https://www.khou.com/article/news/timeline-a-mothers-decision-to-kidnap-her-son/285-622883911
