,topic,title,date,events,id,sentence,clause,dateText,exactDate,paragraphNo,realDate,lengthDate,endDate,url
0,Michael Webb,Forest Hill sergeant fired for his handling of kidnapping case wants his job back,2019-05-18 00:00:00+00:00,kidnap,24,An 8-year-old girl was kidnapped May 18 while walking with her mom in a Fort Worth neighborhood. ,An 8 year old girl was kidnapped May 18 while,18-May,FALSE,6,TRUE,7 days,2019-05-25 00:00:00+00:00,https://www.khou.com/article/news/forest-hill-sergeant-fired-for-his-handling-of-kidnapping-case-wants-his-job-back/287-c05cbeb9-5939-42ce-a2ef-d5721ce78b5f
1,Michael Webb,Michael Webb to plead guilty in federal court to kidnapping of 8-year-old girl in Fort Worth,2019-06-18 00:00:00+00:00,accuse,5,The man accused of grabbing an 8-year-old girl while she walked with her mother in a Fort Worth neighborhood was indicted on a federal kidnapping charge Wednesday — hours after he changed his mind about pleading guilty.,The man accused of hours after he changed mind about,0,FALSE,4,FALSE,,,https://www.khou.com/article/news/crime/michael-webb-indicted-in-kidnapping-of-8-year-old-girl-in-fort-worth/287-ffd1fd97-14ea-4c8a-805b-2eafe0333e64
2,Michael Webb,Michael Webb to plead guilty in federal court to kidnapping of 8-year-old girl in Fort Worth,2019-06-18 00:00:00+00:00,find,7,"An extensive search for the girl and the abductor followed, leading authorities to an extended stay hotel in Forest Hill where they were found early the next morning.",they were found early the next morning,0,FALSE,22,FALSE,,,https://www.khou.com/article/news/crime/michael-webb-indicted-in-kidnapping-of-8-year-old-girl-in-fort-worth/287-ffd1fd97-14ea-4c8a-805b-2eafe0333e64
3,Michael Webb,Michael Webb to plead guilty in federal court to kidnapping of 8-year-old girl in Fort Worth,2019-06-18 00:00:00+00:00,receive,9,"Hours after the girl was taken, Forest Hill police received a tip that Webb had been seen with the child. ",Hours after Forest Hill police received a tip that,0,FALSE,32,FALSE,,,https://www.khou.com/article/news/crime/michael-webb-indicted-in-kidnapping-of-8-year-old-girl-in-fort-worth/287-ffd1fd97-14ea-4c8a-805b-2eafe0333e64
4,Michael Webb,Michael Webb to plead guilty in federal court to kidnapping of 8-year-old girl in Fort Worth,2019-06-18 00:00:00+00:00,see,10,"Hours after the girl was taken, Forest Hill police received a tip that Webb had been seen with the child. ",Webb had been seen with the child,0,FALSE,32,FALSE,,,https://www.khou.com/article/news/crime/michael-webb-indicted-in-kidnapping-of-8-year-old-girl-in-fort-worth/287-ffd1fd97-14ea-4c8a-805b-2eafe0333e64
5,Michael Webb,Michael Webb to plead guilty in federal court to kidnapping of 8-year-old girl in Fort Worth,2019-06-18 00:00:00+00:00,search,11,The officer searched Webb's room around midnight at the WoodSpring Suites on East California Parkway.,The officer searched Webb room around midnight at the WoodSpring Suites on East California Parkway,0,FALSE,32,FALSE,,,https://www.khou.com/article/news/crime/michael-webb-indicted-in-kidnapping-of-8-year-old-girl-in-fort-worth/287-ffd1fd97-14ea-4c8a-805b-2eafe0333e64
6,Michael Webb,Forest Hill officer who failed to find kidnapped 8-year-old girl has been fired,2019-06-19 00:00:00+00:00,rescue,19,Wolfe was there when Fort Worth police rescued the girl.,Fort Worth police rescued the girl,0,FALSE,20,FALSE,,,https://www.khou.com/article/news/forest-hill-officer-who-failed-to-find-kidnapped-8-year-old-girl-has-been-fired/287-6a1c15ff-ff54-49d1-8552-5e8443635e4c
7,Michael Webb,Forest Hill officer who failed to find kidnapped 8-year-old girl has been fired,2019-06-19 00:00:00+00:00,arrest,21,He was arrested on a state aggravated kidnapping charge and was later transferred to federal custody on a kidnapping charge.,He was arrested on a state aggravated kidnapping charge and was later transferred to federal custody on a kidnapping charge,0,FALSE,22,FALSE,,,https://www.khou.com/article/news/forest-hill-officer-who-failed-to-find-kidnapped-8-year-old-girl-has-been-fired/287-6a1c15ff-ff54-49d1-8552-5e8443635e4c
8,Michael Webb,Forest Hill sergeant fired for his handling of kidnapping case wants his job back,2019-06-20 00:00:00+00:00,fire,22,He was fired for his behavior when he responded to the hotel a second time.,He was fired for behavior when,0,FALSE,0,FALSE,,,https://www.khou.com/article/news/forest-hill-sergeant-fired-for-his-handling-of-kidnapping-case-wants-his-job-back/287-c05cbeb9-5939-42ce-a2ef-d5721ce78b5f
9,Michael Webb,Forest Hill sergeant fired for his handling of kidnapping case wants his job back,2019-06-20 00:00:00+00:00,release,26,"Wolfe's response was captured on video, but has not been released to the public. ",Wolfe response was captured on video but has not been released to the public,0,FALSE,16,FALSE,,,https://www.khou.com/article/news/forest-hill-sergeant-fired-for-his-handling-of-kidnapping-case-wants-his-job-back/287-c05cbeb9-5939-42ce-a2ef-d5721ce78b5f
10,Michael Webb,Man accused of kidnapping 8-year-old Fort Worth girl has pleaded not guilty in federal court,2019-06-24 00:00:00+00:00,ask,1,Webb has also asked for a new defense attorney.,Webb has also asked for a new defense attorney,0,FALSE,10,FALSE,,,https://www.khou.com/article/news/crime/man-accused-of-kidnapping-8-year-old-fort-worth-girl-has-pleaded-not-guilty-in-federal-court/287-8ec1acce-cc7f-4941-a83f-cf7c6544f4c6
