,topic,title,date,events,id,sentence,clause,dateText,exactDate,paragraphNo,realDate,lengthDate,endDate,url
0,Jonelle,Remains of missing girl Jonelle Matthews found in Weld County,2018-01-01 00:00:00+00:00,release,14,"Just last year, police released new video hoping it would spark new leads in the case. ",Just last year police released new video,last year,FALSE,26,TRUE,365 days,2019-01-01 00:00:00+00:00,https://www.khou.com/article/news/crime/bones-of-girl-who-vanished-34-years-ago-found-in-colorado/73-c8900fff-9383-43c1-88fa-6c47242199ab
1,Jonelle,"34 years after her disappearance, Jonelle Matthews of Greeley remains missing",2018-12-20 00:00:00+00:00,see,1,She was never seen again.,She was never seen again,0,FALSE,6,FALSE,,,https://www.khou.com/article/news/local/34-years-after-her-disappearance-jonelle-matthews-remains-missing/73-cc3b1e30-a0fe-4f90-9378-0cd48bf98282
2,Jonelle,"34 years after her disappearance, Jonelle Matthews of Greeley remains missing",2018-12-20 00:00:00+00:00,find,2,"No good clues or solid leads have ever been found in the case and in the decades since then, it's gone cold.",No good clues or solid leads have ever been found in the case and in the decades since,0,FALSE,10,FALSE,,,https://www.khou.com/article/news/local/34-years-after-her-disappearance-jonelle-matthews-remains-missing/73-cc3b1e30-a0fe-4f90-9378-0cd48bf98282
3,Jonelle,"34 years after her disappearance, Jonelle Matthews of Greeley remains missing",2018-12-20 00:00:00+00:00,help,3,The post also went on to mention technological advances that could help bring in new leads.,could help,0,FALSE,22,FALSE,,,https://www.khou.com/article/news/local/34-years-after-her-disappearance-jonelle-matthews-remains-missing/73-cc3b1e30-a0fe-4f90-9378-0cd48bf98282
4,Jonelle,"34 years after her disappearance, Jonelle Matthews of Greeley remains missing",2018-12-20 00:00:00+00:00,disappear,5,"For the first time, Greeley Police released video from the Christmas choir performance the night Jonelle disappeared. ",Jonelle disappeared,0,FALSE,26,FALSE,,,https://www.khou.com/article/news/local/34-years-after-her-disappearance-jonelle-matthews-remains-missing/73-cc3b1e30-a0fe-4f90-9378-0cd48bf98282
5,Jonelle,"34 years after her disappearance, Jonelle Matthews of Greeley remains missing",2018-12-20 00:00:00+00:00,call,6,Anyone with information on the case is urged to call Greeley Police at 970-351-5100.,to call Greeley Police at,0,FALSE,34,FALSE,,,https://www.khou.com/article/news/local/34-years-after-her-disappearance-jonelle-matthews-remains-missing/73-cc3b1e30-a0fe-4f90-9378-0cd48bf98282
6,Jonelle,"34 years after her disappearance, Jonelle Matthews of Greeley remains missing",2018-12-24 00:00:00+00:00,vanish,0,Jonelle Matthews vanished without a trace in 1984 from her Greeley home just a few days before Christmas. ,Jonelle Matthews vanished without a trace in 1984 from Greeley home just a few days before Christmas,a few days before Christmas,FALSE,2,TRUE,365 days,2019-12-24 00:00:00+00:00,https://www.khou.com/article/news/local/34-years-after-her-disappearance-jonelle-matthews-remains-missing/73-cc3b1e30-a0fe-4f90-9378-0cd48bf98282
7,Jonelle,Remains of missing girl Jonelle Matthews found in Weld County,2019-07-24 00:00:00+00:00,kill,13,The family wants to know who killed Jonelle.,killed Jonelle,0,FALSE,12,FALSE,,,https://www.khou.com/article/news/crime/bones-of-girl-who-vanished-34-years-ago-found-in-colorado/73-c8900fff-9383-43c1-88fa-6c47242199ab
8,Jonelle,Remains of missing girl Jonelle Matthews found in Weld County,2019-07-24 00:00:00+00:00,ask,15,Anyone with information about this case is asked to contact Detective Robert Cash at 970-350-9601 or the tip line at 970-351-5100.,Anyone with information about this case is asked,0,FALSE,26,FALSE,,,https://www.khou.com/article/news/crime/bones-of-girl-who-vanished-34-years-ago-found-in-colorado/73-c8900fff-9383-43c1-88fa-6c47242199ab
9,Jonelle,Remains of missing girl Jonelle Matthews found in Weld County,2019-07-29 00:00:00+00:00,identify,8,Bones found earlier this week at an oil and gas site have been identified as a 12-year-old Greeley girl who has been missing since 1984.,earlier this week at an oil and gas site have been identified as a 12 year old Greeley girl who,earlier this week,FALSE,2,TRUE,7 days,2019-08-05 00:00:00+00:00,https://www.khou.com/article/news/crime/bones-of-girl-who-vanished-34-years-ago-found-in-colorado/73-c8900fff-9383-43c1-88fa-6c47242199ab
