,topic,title,date,events,id,sentence,clause,dateText,exactDate,paragraphNo,realDate,lengthDate,endDate,url
0,hatton,"Hatton Garden heist: The target, the plan, the job, the gear and the investigation behind the biggest burglary in English legal history",1980-01-01 00:00:00+00:00,call,29,"This so-called A-team, run by a feared triumvirate of brothers, had controlled the drug trade across parts of the capital in the 1980s and 90s.",This so called run by a feared triumvirate of brothers had controlled the drug trade across parts of the capital in the 1980s and 90s,the 1980s,FALSE,56,TRUE,365 days,1980-12-31 00:00:00+00:00,https://www.independent.co.uk/news/uk/crime/hatton-garden-heist-target-plan-job-gear-and-investigation-behind-biggest-burglary-english-legal-history-a6812356.html
1,hatton,"Hatton Garden heist: The target, the plan, the job, the gear and the investigation behind the biggest burglary in English legal history",1980-01-01 00:00:00+00:00,identify,48,The old school criminals were also found out by investigative techniques - notably the use of the network of cameras that identify car movements from the number plates – that were not available during their criminal heydays of the 1980s.,identify car movements from the number plates that of the 1980s,the 1980s,FALSE,175,TRUE,365 days,1980-12-31 00:00:00+00:00,https://www.independent.co.uk/news/uk/crime/hatton-garden-heist-target-plan-job-gear-and-investigation-behind-biggest-burglary-english-legal-history-a6812356.html
2,hatton,Hatton Garden theft: Full timeline of one of the biggest jewel raids in history,2015-04-07 00:00:00+00:00,discover,8,:: April 7 2015 The burglary is discovered when security guards arrive at Hatton Garden Safe Deposit.,April 7 2015 The burglary is discovered when,April 7 2015,FALSE,44,TRUE,7 days,2015-04-14 00:00:00+00:00,https://www.independent.co.uk/news/uk/crime/hatton-garden-theft-full-timeline-events-a6812561.html
3,hatton,"Hatton Garden heist: The target, the plan, the job, the gear and the investigation behind the biggest burglary in English legal history",2016-01-01 00:00:00+00:00,look,32,"The vault was only opened to key staff and box holders, but one long-serving security guard had allowed four or five potential customers to look around the vault in the year before the attack. ",to look around the vault in the year before the attack,the year before,FALSE,76,TRUE,365 days,2016-12-31 00:00:00+00:00,https://www.independent.co.uk/news/uk/crime/hatton-garden-heist-target-plan-job-gear-and-investigation-behind-biggest-burglary-english-legal-history-a6812356.html
4,hatton,Hatton Garden theft: Full timeline of one of the biggest jewel raids in history,2016-01-14 00:00:00+00:00,find,0,"Three men were today found guilty on charges relating to involvement with the heist, namely Carl Wood, William Lincoln and Hugh Doyle.",Three men were today found on charges relating to involvement with the heist namely Carl Wood William Lincoln and Hugh Doyle,today,FALSE,4,TRUE,7 days,2016-01-21 00:00:00+00:00,https://www.independent.co.uk/news/uk/crime/hatton-garden-theft-full-timeline-events-a6812561.html
5,hatton,Hatton Garden theft: Full timeline of one of the biggest jewel raids in history,2016-01-14 00:00:00+00:00,involve,1,"Over the course of the trial, the court heard how the crime involved a three year plan, a six week hunt and now some very lengthy jail sentences.",the crime involved a three year plan a six week hunt and now some very lengthy jail sentences,now,FALSE,8,TRUE,7 days,2016-01-21 00:00:00+00:00,https://www.independent.co.uk/news/uk/crime/hatton-garden-theft-full-timeline-events-a6812561.html
6,hatton,Hatton Garden theft: Full timeline of one of the biggest jewel raids in history,2016-01-14 00:00:00+00:00,arrive,7,"When the lift finally arrives, there is a 60-year-old man with white hair - who fits Perkins's description - wearing blue overalls, standing inside.",the lift finally arrives,0,FALSE,33,FALSE,,,https://www.independent.co.uk/news/uk/crime/hatton-garden-theft-full-timeline-events-a6812561.html
7,hatton,Hatton Garden theft: Full timeline of one of the biggest jewel raids in history,2016-01-14 00:00:00+00:00,see,10,:: May 17 2015 Collins suggests using the car park outside Hugh Doyle's workshop - by the Old Wheatsheaf pub in Enfield - to exchange the stolen goods so that they would not be seen by the police.,they would not be seen by the police,0,FALSE,58,FALSE,,,https://www.independent.co.uk/news/uk/crime/hatton-garden-theft-full-timeline-events-a6812561.html
8,hatton,Hatton Garden theft: Full timeline of one of the biggest jewel raids in history,2016-01-14 00:00:00+00:00,arrest,11,"Police raid the address, the loot is seized and the men are arrested.",the men are arrested,0,FALSE,66,FALSE,,,https://www.independent.co.uk/news/uk/crime/hatton-garden-theft-full-timeline-events-a6812561.html
9,hatton,Hatton Garden theft: Full timeline of one of the biggest jewel raids in history,2016-01-14 00:00:00+00:00,search,12,":: October 8 2015 After police search a cemetery in Edmonton, they discover two bags stuffed with jewels under memorial stones connected to Jones's partner's family.",search a cemetery,0,FALSE,71,FALSE,,,https://www.independent.co.uk/news/uk/crime/hatton-garden-theft-full-timeline-events-a6812561.html
10,hatton,"Hatton Garden heist: The target, the plan, the job, the gear and the investigation behind the biggest burglary in English legal history",2016-01-14 00:00:00+00:00,claim,24,"Noye later claimed that he thought the man was an intruder intent on attacking him, and stabbed him to death. ",Noye later claimed that and stabbed him to death,0,FALSE,33,FALSE,,,https://www.independent.co.uk/news/uk/crime/hatton-garden-heist-target-plan-job-gear-and-investigation-behind-biggest-burglary-english-legal-history-a6812356.html
11,hatton,"Hatton Garden heist: The target, the plan, the job, the gear and the investigation behind the biggest burglary in English legal history",2016-01-14 00:00:00+00:00,charge,25,"Noye and Reader were both charged with his murder but were acquitted, though Reader was later jailed for nine years for his role in laundering the Brink's Mat cash. ",Noye and Reader were both charged with murder but were acquitted though,0,FALSE,33,FALSE,,,https://www.independent.co.uk/news/uk/crime/hatton-garden-heist-target-plan-job-gear-and-investigation-behind-biggest-burglary-english-legal-history-a6812356.html
12,hatton,"Hatton Garden heist: The target, the plan, the job, the gear and the investigation behind the biggest burglary in English legal history",2016-01-14 00:00:00+00:00,question,26,"He had been questioned at length over his role in a similar crime to drill into a vault in London's Bond Street, though on that occasion he had never been charged with a crime, it can be revealed today. ",He had been questioned at length over role in a similar crime though on that occasion,0,FALSE,39,FALSE,,,https://www.independent.co.uk/news/uk/crime/hatton-garden-heist-target-plan-job-gear-and-investigation-behind-biggest-burglary-english-legal-history-a6812356.html
13,hatton,"Hatton Garden heist: The target, the plan, the job, the gear and the investigation behind the biggest burglary in English legal history",2016-01-14 00:00:00+00:00,sentence,28,"The fourth of the ringleaders John 'Kenny' Collins, also had a long history of crime, including a £300,000 jewellery raid in west London in 1988, for which he was sentenced to nine years in prison.",he was sentenced to nine years in prison,0,FALSE,41,FALSE,,,https://www.independent.co.uk/news/uk/crime/hatton-garden-heist-target-plan-job-gear-and-investigation-behind-biggest-burglary-english-legal-history-a6812356.html
14,hatton,"Hatton Garden heist: The target, the plan, the job, the gear and the investigation behind the biggest burglary in English legal history",2016-01-14 00:00:00+00:00,hit,30,The gang had little sympathy for the people they were about to hit. ,to hit,0,FALSE,66,FALSE,,,https://www.independent.co.uk/news/uk/crime/hatton-garden-heist-target-plan-job-gear-and-investigation-behind-biggest-burglary-english-legal-history-a6812356.html
15,hatton,"Hatton Garden heist: The target, the plan, the job, the gear and the investigation behind the biggest burglary in English legal history",2016-01-14 00:00:00+00:00,wear,35,"His modus operandi was to take the most valuable jewellery, weave it into rudimentary costume jewellery and give it to women to wear on budget flights to Europe within hours of a robbery being committed. ",to wear on budget flights to Europe within hours of a robbery being committed,0,FALSE,82,FALSE,,,https://www.independent.co.uk/news/uk/crime/hatton-garden-heist-target-plan-job-gear-and-investigation-behind-biggest-burglary-english-legal-history-a6812356.html
16,hatton,"Hatton Garden heist: The target, the plan, the job, the gear and the investigation behind the biggest burglary in English legal history",2016-01-14 00:00:00+00:00,appear,36,The breaching of the metal door appears to have allowed the weakened alarm system to send a radio signal to the security company monitoring the system. ,The breaching of the metal door appears,0,FALSE,116,FALSE,,,https://www.independent.co.uk/news/uk/crime/hatton-garden-heist-target-plan-job-gear-and-investigation-behind-biggest-burglary-english-legal-history-a6812356.html
17,hatton,"Hatton Garden heist: The target, the plan, the job, the gear and the investigation behind the biggest burglary in English legal history",2016-01-14 00:00:00+00:00,confirm,37,It wasn't one that they confirm. ,they confirm,0,FALSE,118,FALSE,,,https://www.independent.co.uk/news/uk/crime/hatton-garden-heist-target-plan-job-gear-and-investigation-behind-biggest-burglary-english-legal-history-a6812356.html
