,topic,title,date,events,id,sentence,clause,dateText,exactDate,paragraphNo,realDate,lengthDate,endDate,url
0,zodiac,Inside the baffling case of the Zodiac Killer: Is Arthur Leigh Allen the one? – Film Daily,1968-12-20 00:00:00+00:00,kill,6,"The two were shot and killed on December 20, 1968.",The two were shot and killed on December 20 1968,December 20 1968,FALSE,16,TRUE,7 days,1968-12-27 00:00:00+00:00,https://filmdaily.co/news/zodiac-killer-arthur-leigh-allen/
1,zodiac,Inside the baffling case of the Zodiac Killer: Is Arthur Leigh Allen the one? – Film Daily,1968-12-20 00:00:00+00:00,shoot,6,"The two were shot and killed on December 20, 1968.",The two were shot and killed on December 20 1968,December 20 1968,FALSE,16,TRUE,7 days,1968-12-27 00:00:00+00:00,https://filmdaily.co/news/zodiac-killer-arthur-leigh-allen/
2,zodiac,Inside the baffling case of the Zodiac Killer: Is Arthur Leigh Allen the one? – Film Daily,1969-01-01 00:00:00+00:00,attack,13,Lynch had questioned Arthur Leigh Allen about his whereabouts on the day that Hartnell and Shepard were attacked in 1969. ,Hartnell and Shepard were attacked in 1969,1969,FALSE,26,TRUE,365 days,1970-01-01 00:00:00+00:00,https://filmdaily.co/news/zodiac-killer-arthur-leigh-allen/
3,zodiac,Inside the baffling case of the Zodiac Killer: Is Arthur Leigh Allen the one? – Film Daily,1992-08-26 00:00:00+00:00,die,24,"Allen died from a heart attack on August 26, 1992.",Allen died from a heart attack on August 26 1992,August 26 1992,FALSE,64,TRUE,7 days,1992-09-02 00:00:00+00:00,https://filmdaily.co/news/zodiac-killer-arthur-leigh-allen/
4,zodiac,Inside the baffling case of the Zodiac Killer: Is Arthur Leigh Allen the one? – Film Daily,2020-05-13 00:00:00+00:00,confirm,0,"He is known for having committed four confirmed murders, but boasting of having perpetrated as many as 37. ",confirmed murders but boasting of,0,FALSE,2,FALSE,,,https://filmdaily.co/news/zodiac-killer-arthur-leigh-allen/
5,zodiac,Inside the baffling case of the Zodiac Killer: Is Arthur Leigh Allen the one? – Film Daily,2020-05-13 00:00:00+00:00,suspect,2,It's unclear why Allen was first suspected of being the Zodiac Killer. ,Allen was first suspected of,0,FALSE,12,FALSE,,,https://filmdaily.co/news/zodiac-killer-arthur-leigh-allen/
6,zodiac,Inside the baffling case of the Zodiac Killer: Is Arthur Leigh Allen the one? – Film Daily,2020-05-13 00:00:00+00:00,question,12,Lynch had questioned Arthur Leigh Allen about his whereabouts on the day that Hartnell and Shepard were attacked in 1969. ,Lynch had questioned Arthur Leigh Allen about whereabouts on the day that,the day,FALSE,26,TRUE,7 days,2020-05-20 00:00:00+00:00,https://filmdaily.co/news/zodiac-killer-arthur-leigh-allen/
7,zodiac,Inside the baffling case of the Zodiac Killer: Is Arthur Leigh Allen the one? – Film Daily,2020-05-13 00:00:00+00:00,look,17,"It went on and on about how the person had been betrayed by their attorney, but most importantly, it contained various symbols that looked a lot like the ones used in the Zodiac Killers letter to the police.",looked a lot like the ones used in the Zodiac Killers letter to the police,0,FALSE,54,FALSE,,,https://filmdaily.co/news/zodiac-killer-arthur-leigh-allen/
8,zodiac,Inside the baffling case of the Zodiac Killer: Is Arthur Leigh Allen the one? – Film Daily,2020-05-13 00:00:00+00:00,search,18,It became apparent to them that they would have to search Allen's property if they were to have any hope of finding any concrete evidence. ,to search Allen property,0,FALSE,58,FALSE,,,https://filmdaily.co/news/zodiac-killer-arthur-leigh-allen/
9,zodiac,Inside the baffling case of the Zodiac Killer: Is Arthur Leigh Allen the one? – Film Daily,2020-05-13 00:00:00+00:00,find,21,Both the handwriting analysis and Allen's fingerprints did not match the fingerprint they had found on one of the crime scenes.,they had found on one of the crime scenes,0,FALSE,62,FALSE,,,https://filmdaily.co/news/zodiac-killer-arthur-leigh-allen/
10,zodiac,True crime: Can we ever prove who the Zodiac Killer was? – Film Daily,2020-09-09 00:00:00+00:00,release,26,"Despite the overwhelmingly suspicious connections between Allen and the Zodiac, the former was released due to insufficient evidence.",Despite the overwhelmingly suspicious connections between Allen and the Zodiac the former was released due to insufficient evidence,0,FALSE,6,FALSE,,,https://filmdaily.co/obsessions/true-crime/zodiac-killer/
11,zodiac,True crime: Can we ever prove who the Zodiac Killer was? – Film Daily,2020-09-09 00:00:00+00:00,claim,28,"CNN claimed that Allen's DNA was tested against fibers from the Zodiac crime scene in 2002, but they came back negative once again.",CNN claimed that,0,FALSE,12,FALSE,,,https://filmdaily.co/obsessions/true-crime/zodiac-killer/
12,zodiac,True crime: Can we ever prove who the Zodiac Killer was? – Film Daily,2020-09-09 00:00:00+00:00,occur,30,"Police officers were all over the Zodiac crime scenes in the 1970s, but the fact that so many of them occurred in different cities led to miscommunication and broken chains of command. ",so many of them occurred in different cities,0,FALSE,26,FALSE,,,https://filmdaily.co/obsessions/true-crime/zodiac-killer/
