,topic,title,date,events,id,sentence,clause,dateText,exactDate,paragraphNo,realDate,lengthDate,endDate,url
0,Vanessa Guillen,‘They're not here to help us find Vanessa’: Family of missing Fort Hood soldier says Army is 'covering up',2020-04-22 00:00:00+00:00,see,4,Guillen was last seen April 22. ,Guillen was last seen April 22,22-Apr,FALSE,6,TRUE,7 days,2020-04-29 00:00:00+00:00,https://www.khou.com/article/news/local/texas/theyre-not-here-to-help-us-find-vanessa-family-of-missing-fort-hood-soldier-says-army-is-covering-up/285-03c86262-b822-49dc-bf25-d99e2e5d8c6d
1,Vanessa Guillen,Sister of Vanessa Guillen: 'They lied to us from the beginning',2020-04-22 00:00:00+00:00,vanish,30,"On April 22, Vanessa vanished. ",On April 22 Vanessa vanished,22-Apr,FALSE,8,TRUE,7 days,2020-04-29 00:00:00+00:00,https://www.khou.com/article/news/local/texas/vanessa-guillens-family-press-conference-in-washington-dc/285-bfae3e49-5c99-4502-bb1d-be34623fd996
2,Vanessa Guillen,Vanessa Guillen update from Fort Hood,2020-04-22 00:00:00+00:00,disappear,42,Guillen disappeared April 22 from Fort Hood. ,Guillen disappeared April 22 from Fort Hood,22-Apr,FALSE,12,TRUE,7 days,2020-04-29 00:00:00+00:00,https://www.khou.com/article/news/local/vanessa-guillen/fort-hood-to-provide-updates-on-vanessa-guillen-investigation/285-bc1d00e9-2eb0-422d-b872-c4bdc635bf70
3,Vanessa Guillen,"Fort Hood conducting 'extensive search' for missing soldier, $15,000 reward offered for information",2020-04-24 00:00:00+00:00,find,15,Fort Hood Military Police and Army CID are asking for the public's help to find her.,to find her,0,FALSE,0,FALSE,,,https://www.khou.com/article/news/local/fort-hood-conducting-extensive-search-for-missing-soldier-15000-reward-offered-for-information/500-52fa7d50-d4ae-4b30-8de1-06da1535eb4b
4,Vanessa Guillen,"Fort Hood conducting 'extensive search' for missing soldier, $15,000 reward offered for information",2020-04-24 00:00:00+00:00,ask,16,"FORT HOOD, Texas — Fort Hood and special agents with the Army Criminal Investigation Division asked for the public's help to find a Fort Hood soldier. ",FORT HOOD Texas Fort Hood and special agents with the Army Criminal Investigation Division asked for the public help,0,FALSE,2,FALSE,,,https://www.khou.com/article/news/local/fort-hood-conducting-extensive-search-for-missing-soldier-15000-reward-offered-for-information/500-52fa7d50-d4ae-4b30-8de1-06da1535eb4b
5,Vanessa Guillen,"Fort Hood conducting 'extensive search' for missing soldier, $15,000 reward offered for information",2020-04-24 00:00:00+00:00,call,20,Anyone with information on Guillen's whereabouts should call Army CID at 254-495-7767 or the military police desk at 254-287-4001.,Anyone with information on Guillen whereabouts should call Army CID at or the military police desk at,0,FALSE,12,FALSE,,,https://www.khou.com/article/news/local/fort-hood-conducting-extensive-search-for-missing-soldier-15000-reward-offered-for-information/500-52fa7d50-d4ae-4b30-8de1-06da1535eb4b
6,Vanessa Guillen,"'Bring Vanessa Home' | Family, friends rally to bring awareness to missing Fort Hood soldier",2020-05-01 00:00:00+00:00,help,1,"The Army Criminal Investigation Division is leading the investigation and has offered a $15,000 reward for information that helps find her.",helps find her,0,FALSE,16,FALSE,,,https://www.khou.com/article/news/local/bring-vanessa-home-family-friends-rally-to-bring-awareness-to-missing-fort-hood-soldier/500-6b39827b-b516-4800-8dc9-21ede0220c24
7,Vanessa Guillen,Killeen man charged with murder in slaying of Fort Hood soldier,2020-05-18 00:00:00+00:00,accuse,56,"Authorities have accused Brandon Michael Olivares of shooting the 27-year-old soldier to death in the 2100 block of Fuller Lane in Harker Heights on May 18, according to a statement from police.",Authorities have accused Brandon Michael Olivares of in the 2100 block of Fuller Lane in Harker Heights on May 18 according to a statement from police,18-May,FALSE,2,TRUE,7 days,2020-05-25 00:00:00+00:00,https://www.statesman.com/news/20200806/killeen-man-charged-with-murder-in-slaying-of-fort-hood-soldier
8,Vanessa Guillen,Killeen man charged with murder in slaying of Fort Hood soldier,2020-05-18 00:00:00+00:00,discover,57,"Rosecrans' body was discovered on Fuller Lane on May 18, while his Jeep Renegade was found on fire about four miles away.",Rosecrans body was discovered on Fuller Lane on May 18 while,18-May,FALSE,8,TRUE,7 days,2020-05-25 00:00:00+00:00,https://www.statesman.com/news/20200806/killeen-man-charged-with-murder-in-slaying-of-fort-hood-soldier
9,Vanessa Guillen,"Vanessa Guillen's family holds search parties in Belton, Cove",2020-05-31 00:00:00+00:00,search,52,"Members of the search party split up into small groups, some searching areas of Miller Springs and some heading to Copperas Cove to search Olgetree Gap Preserve.",to search,0,FALSE,14,FALSE,,,https://www.khou.com/article/news/local/family-of-missing-fort-hood-soldier-search-party-belton-copperas-cove/500-e0592a1a-3c45-4682-abae-858574db4e1c
